source,material,n,density,lower_conf,upper_conf
win_DB,PP,8898,1,0.997838811,1.002161189
win_DB,Thermoplastic Elastomers,7409,1.02,1.017612301,1.022387699
win_DB,PC,5979,1.2,1.197321614,1.202678386
win_DB,Nylon 66,5649,1.33,1.32723966,1.33276034
win_DB,PVC,5527,1.33,1.327207558,1.332792442
win_DB,Nylon 6,5288,1.3,1.297141542,1.302858458
win_DB,ABS,3579,1.1105,1.106994257,1.114005743
win_DB,Silicone,3006,1.15,1.146163343,1.153836657
win_DB,Polybutylene Terephthalate,2448,1.45,1.445736292,1.454263708
win_DB,HDPE,2392,0.953,0.948685433,0.957314567
win_DB,Rubber or Thermoset Elastomer,2365,1.18,1.175660275,1.184339725
win_DB,Polystyrene,2114,1.05,1.04540397,1.05459603
win_DB,Epoxy,1982,1.34,1.335250191,1.344749809
win_DB,Thermoplastic Polyurethane,1927,1.19,1.185181533,1.194818467
win_DB,Acetal,1668,1.42,1.414814096,1.425185904
win_DB,LDPE,1489,0.922,0.916506235,0.927493765
win_DB,LLDPE,1308,0.92,0.914133053,0.925866947
win_DB,Polyphenylene EtherPPO,948,1.12,1.113095973,1.126904027
win_DB,Phenolic,893,1.43,1.422884564,1.437115436
win_DB,Thermoset Polyester,880,1.783,1.77583173,1.79016827
win_DB,PMMA,849,1.18,1.172700893,1.187299107
win_DB,Polyphenylene Sulfide (PPS),846,1.61,1.602687852,1.617312148
win_DB,Ethylene Vinyl Acetate,779,0.939,0.931377312,0.946622688
win_DB,PET,737,1.45,1.442161463,1.457838537
win_DB,PTFE,724,2.16,2.152090885,2.167909115
win_DB,Polyetheretherketone,681,1.4165,1.40834324,1.42465676
win_DB,Polyetherimide ,630,1.36,1.351517333,1.368482667
win_DB,AcrylicCyanoacrylate Adhesive,534,1.06,1.050781893,1.069218107
win_DB,Polyphthalamide (PPA),530,1.49,1.480746987,1.499253013
win_DB,Nylon 12,525,1.03,1.020702796,1.039297204
win_DB,Thermoset Fluoropolymer,499,1.82,1.810462413,1.829537587
win_DB,Nylon 6-66,339,1.32,1.30841922,1.33158078
win_DB,Nylon 46,331,1.41,1.398279636,1.421720364
win_DB,Acrylonitrile-Styrene-Acrylate ,329,1.08,1.068243948,1.091756052
win_DB,Nylon 612,322,1.248,1.236116434,1.259883566
win_DB,Styrene-Butadiene Thermoplastics,298,1.01,0.99764568,1.02235432
win_DB,Liquid Crystal Polymer,260,1.65,1.636771121,1.663228879
win_DB,Cellulosic,244,1.19,1.176343178,1.203656822
win_DB,Polyethersulfone,234,1.49,1.476053719,1.503946281
win_DB,Styrene Acrylonitrile (SAN),207,1.08,1.065170042,1.094829958
win_DB,Polysulfone,195,1.32,1.304719629,1.335280371
win_DB,Nylon 610,184,1.25,1.234268642,1.265731358
win_DB,PVDF,176,1.78,1.763914439,1.796085561
win_DB,"Polyimide, Thermoplastic",160,1.42,1.40312797,1.43687203
win_DB,Polylactic Acid (PLA),134,1.24,1.22156125,1.25843875
win_DB,ETFE-ECTFE,131,1.72,1.701351034,1.738648966
win_DB,Nylon 11,131,1.1,1.081351034,1.118648966
win_DB,Thermoset Polyimide,126,1.42,1.400984139,1.439015861
win_DB,Aramid,121,0.31,0.29059474,0.32940526
win_DB,Ionomer,118,0.9505,0.930849316,0.970150684
win_DB,Ethylene Methyl Acrylate,114,0.942,0.922007139,0.961992861
win_DB,PFA,82,2.1475,2.123922921,2.171077079
win_DB,Siloxane,34,1.15,1.113376339,1.186623661
kooi_2019,PE,N/A,1.01,0.908172448,1.698874489
kooi_2019,PA,N/A,1.145,0.908172448,1.698874489
kooi_2019,PS,N/A,1.09,0.908172448,1.698874489
kooi_2019,PVA,N/A,1.28,0.908172448,1.698874489
